"","chapter","character","line"
"1",1,"Michael","Eleanor?"
"2",1,"Michael","Come on in."
"3",1,"Michael","Hi, Eleanor."
"4",1,"Michael","I'm Michael."
"5",1,"Michael","How are you today?"
"6",1,"Eleanor Shellstrop","I'm great."
"7",1,"Eleanor Shellstrop","Thanks for asking."
"8",1,"Eleanor Shellstrop","Oh, one question."
"9",1,"Eleanor Shellstrop","Where am I?"
"10",1,"Eleanor Shellstrop","Who are you, and what's going on?"
"11",1,"Michael","Right, so, you, Eleanor Shellstrop, are dead."
"12",1,"Michael","Your life on Earth has ended, and you are now in the next phase of your existence in the universe."
"13",1,"Eleanor Shellstrop","Cool."
"14",1,"Eleanor Shellstrop","Cool."
"15",1,"Eleanor Shellstrop","I have some questions."
"16",1,"Michael","Thought you might."
"17",1,"Eleanor Shellstrop","How did I die?"
"18",1,"Eleanor Shellstrop","I don't remember."
"19",1,"Michael","Yes, um, in cases of traumatic or embarrassing deaths, we erase the memory to allow for a peaceful transition."
"20",1,"Michael","Are you sure you want to hear?"
"21",1,"Michael","All right, so you were in a grocery store parking lot."
"22",1,"Michael","You dropped a bottle of something called, ""Lonely Gal Margarita Mix for One""."
"23",1,"Michael","And when you bent down to pick it up, a long column of shopping carts that were being returned to the shopping cart collection area rolled out of control and plowed right into you."
"24",1,"Eleanor Shellstrop","Oof."
"25",1,"Eleanor Shellstrop","That's how I died?"
"26",1,"Michael","No, sorry, there's more."
"27",1,"Michael","You were able to grab on to the front of the column of shopping carts, but it'd swept you right out into the street where you were struck and killed by a mobile billboard truck advertising an erectile dysfunction pill called ""Engorge-ulate""."
"28",1,"Michael","Funnily enough, the first EMT to arrive was an ex-boyfriend of yours --"
"29",1,"Eleanor Shellstrop","Okay, that's… I get it, thank you."
"30",1,"Michael","Oh, okay, sorry."
"31",1,"Eleanor Shellstrop","Um, so who was right?"
"32",1,"Eleanor Shellstrop","I mean about all of this?"
"33",1,"Michael","Well, let's see."
"34",1,"Michael","Hindus are a little bit right, Muslims a little bit."
"35",1,"Michael","Jews, Christians, Buddhists, every religion guessed about 5%, except for Doug Forcett."
"36",1,"Eleanor Shellstrop","Who's Doug Forcett?"
"37",1,"Michael","Well, Doug was a stoner kid who lived in Calgary during the 1970s."
"38",1,"Michael","One night, he got really high on mushrooms, and his best friend, Randy, said, ""Hey, what do you think happens after we die?"""
"39",1,"Michael","And Doug just launched into this long monologue where he got like 92% correct."
"40",1,"Michael","I mean, we couldn't believe what we were hearing."
"41",1,"Michael","That's him, actually, right up there."
"42",1,"Michael","He's pretty famous around here."
"43",1,"Michael","I'm very lucky to have that."
"44",1,"Eleanor Shellstrop","So… maybe my biggest question."
"45",1,"Eleanor Shellstrop","Am I…"
"46",1,"Eleanor Shellstrop","I mean, is this…"
"47",1,"Eleanor Shellstrop","Or…"
"48",1,"Michael","Well, it's not the heaven-or-hell idea that you were raised on."
"49",1,"Michael","But generally speaking, in the afterlife, there's a Good Place and there's a Bad Place."
"50",1,"Michael","You're in The Good Place."
"51",1,"Michael","You're okay, Eleanor."
"52",1,"Michael","You're in The Good Place."
"53",1,"Eleanor Shellstrop","Well, that's good."
"54",1,"Michael","Sure is."
"55",1,"Michael","Okay, let's take a walk, shall we?"
"56",1,"Eleanor Shellstrop","Oh, did I have a purse?"
"57",1,"Eleanor Shellstrop","No, I'm dead, right."
"58",1,"Eleanor Shellstrop","Okay."
"59",1,"Michael","So, this is how it works."
"60",1,"Michael","The Good Place is divided into distinct neighborhoods."
"61",1,"Michael","Each one contains exactly 322 people who have been perfectly selected to blend together into a blissful harmonic balance."
"62",1,"Eleanor Shellstrop","Do all the neighborhoods look like this?"
"63",1,"Michael","No, every neighborhood is unique."
"64",1,"Michael","Some have warm weather, some cold."
"65",1,"Michael","Some are cities, some farmland."
"66",1,"Michael","But in each one, every blade of grass, every ladybug, every detail has been precisely designed and calibrated for its residents."
"67",1,"Eleanor Shellstrop","There's a lot of frozen yogurt places."
"68",1,"Michael","Yeah."
"69",1,"Michael","That's the one thing we put in all the neighborhoods."
"70",1,"Michael","People love frozen yogurt."
"71",1,"Michael","I don't know what to tell you."
"72",1,"Michael","You're gonna have a million more questions, I know."
"73",1,"Michael","For right now, better grab a seat."
"74",1,"Michael","Movie's about to begin."
"75",1,"Michael","Ah."
"76",1,"Michael","Hello, everyone."
"77",1,"Michael","And welcome to your first day in the afterlife."
"78",1,"Michael","You were all, simply put, good people."
"79",1,"Michael","But how do we know that you were good?"
"80",1,"Michael","How are we sure?"
"81",1,"Michael","During your time on Earth, every one of your actions had a positive or a negative value, depending on how much good or bad that action put into the universe."
"82",1,"Michael","Every sandwich you ate, every time you bought a magazine, every single thing you did had an effect that rippled out over time and ultimately created some amount of good or bad."
"83",1,"Michael","You know how some people pull into the breakdown lane when there's traffic?"
"84",1,"Michael","And they think to themselves, ""Ah, who cares? No one's watching."""
"85",1,"Michael","We were watching."
"86",1,"Michael","Surprise!"
"87",1,"Michael","Anyway, when your time on Earth has ended, we calculate the total value of your life using our perfectly accurate measuring system."
"88",1,"Michael","Only the people with the very highest scores, the true cream of the crop, get to come here, to The Good Place."
"89",1,"Michael","What happens to everyone else, you ask?"
"90",1,"Michael","Don't worry about it."
"91",1,"Michael","The point is, you are here because you lived one of the very best lives that could be lived."
"92",1,"Michael","And you won't be alone."
"93",1,"Michael","Your true soulmate is here too."
"94",1,"Michael","That's right."
"95",1,"Michael","Soulmates are real."
"96",1,"Michael","One of the other people in your neighborhood is your actual soulmate, and you will spend eternity together."
"97",1,"Michael","So welcome to eternal happiness."
"98",1,"Michael","Welcome to The Good Place."
"99",1,"Michael","Sponsored by… otters holding hands while they sleep."
"100",1,"Michael","You know the way you feel when you see a picture of two otters holding hands?"
"101",1,"Michael","That's how you're gonna feel every day."
"102",1,"Eleanor Shellstrop","So who is in The Bad Place that would shock me?"
"103",1,"Michael","Uh… well, Mozart, Picasso, Elvis, basically every artist ever, uh, every US president except Lincoln."
"104",1,"Eleanor Shellstrop","That sounds about right."
"105",1,"Eleanor Shellstrop","What about Florence Nightingale?"
"106",1,"Michael","It was close, but, no, she didn't make it."
"107",1,"Eleanor Shellstrop","Wow, all those amazing people down there, it just seems so hard to believe."
"108",1,"Michael","Again, it's an incredibly selective system."
"109",1,"Michael","Most people don't make it here."
"110",1,"Michael","But you, a lawyer who got innocent people off death row, you're special, Eleanor."
"111",1,"Michael","And by the way, welcome to your new home."
"112",1,"Michael","Oh, it's perfect, isn't it?"
"113",1,"Michael","You see, in The Good Place, every person gets to live in a home that perfectly matches his or her true essence."
"114",1,"Eleanor Shellstrop","Cool."
"115",1,"Eleanor Shellstrop","So I guess that's why my house, for example, is this adorable little cottage, whereas other people might have homes that are bigger, like that one."
"116",1,"Michael","Exactly."
